transaction_id,card_number,total,amount,due_date,date,name,type
365.0,180069077137898,540.0,148.0,2024-04-24,2020-05-03,Catherine Garza,Check
161.0,3510734509833282,951.0,165.0,2024-05-31,2023-03-28,James Butler,Debit
534.0,4721918449999021,53.0,24.0,2024-07-13,2020-06-08,Joseph Hayden,Debit
953.0,4975832834360850,878.0,807.0,2023-11-25,2022-08-27,Tara Roy,Check
28.0,4011147642539876,666.0,191.0,2024-08-31,2021-04-23,Mitchell Miller,Debit
415.0,4012744645068696420,120.0,8.0,2024-02-09,2021-09-05,Christopher Hernandez,Debit
572.0,4552942736030,48.0,29.0,2024-05-29,2023-02-20,Benjamin Jones,Debit
956.0,2377280879679990,24.0,20.0,2024-01-07,2021-04-30,Walter Thompson,Check
275.0,4709893879934325,986.0,231.0,2024-09-12,2022-12-04,Curtis Casey,Credit
68.0,3549622008705041,736.0,407.0,2024-03-04,2021-10-09,Jordan Lee,Check
435.0,2334511635403560,789.0,708.0,2024-10-16,2023-08-20,Karen Brown,Debit
469.0,6011603534522979,179.0,78.0,2024-01-21,2023-11-11,Jennifer Nguyen,Check
175.0,4054744620156661,866.0,134.0,2024-10-13,2022-02-24,James Sharp,Debit
760.0,3507139289140459,434.0,365.0,2024-06-24,2023-04-10,Amanda Wells,Check
130.0,4436212200572,902.0,866.0,2024-01-02,2021-10-09,Gerald George,Debit
576.0,5528773287717965,140.0,124.0,2024-01-31,2022-06-21,Christopher Herring,Check
903.0,36657274929756,575.0,293.0,2024-07-25,2020-12-20,Elizabeth Hammond,Check
448.0,2532175567169696,781.0,294.0,2024-06-01,2020-01-04,William Vaughn,Credit
597.0,4862915432982,735.0,728.0,2024-04-10,2021-11-02,Kyle Hawkins,Credit
202.0,4577588704596534,65.0,29.0,2024-06-04,2020-04-20,Jessica Taylor,Credit
19.0,3561619065194336,942.0,718.0,2024-09-19,2020-04-13,Penny Nelson,Check
707.0,3591902992847489,672.0,204.0,2024-05-25,2021-12-17,Tyler Bender,Debit
735.0,3533286975311205,597.0,498.0,2024-08-26,2022-03-20,Roger Ramos,Credit
965.0,2318095549432576,693.0,20.0,2024-10-29,2022-08-03,Elizabeth Bell,Credit
524.0,6575433577344117,900.0,159.0,2024-05-28,2022-03-23,Daniel King,Credit
520.0,6509343832703497,560.0,419.0,2024-01-01,2021-12-07,Kathryn Carter,Check
775.0,340335004088059,458.0,355.0,2024-04-15,2020-01-01,Kenneth Hall,Check
443.0,3509760362503194,736.0,579.0,2024-06-21,2021-10-14,Matthew Johnson,Credit
166.0,2253033724045068,531.0,266.0,2024-09-17,2023-10-05,Benjamin Smith,Debit
690.0,4187286773981296955,206.0,58.0,2024-10-16,2023-04-17,Danielle Anderson,Debit
574.0,30470777357723,630.0,335.0,2024-10-10,2021-04-16,Kelsey Johnson,Check
136.0,379688004347923,137.0,88.0,2024-02-05,2020-09-14,Cory Ford,Credit
709.0,4662527037983,200.0,44.0,2024-10-18,2020-03-30,Phillip Burke,Debit
582.0,4345667088978145,130.0,91.0,2023-12-14,2023-02-11,Carla Santiago,Credit
94.0,4298909940450,318.0,18.0,2023-12-01,2021-01-30,Tracy Martinez,Credit
793.0,377619032765267,415.0,390.0,2024-03-21,2021-06-12,Patricia Hampton,Debit
23.0,341228518900662,848.0,100.0,2024-09-21,2023-09-04,Douglas Hensley,Credit
250.0,349749718452404,894.0,564.0,2024-04-30,2020-04-07,Amy Campos,Debit
109.0,4056627393750139065,173.0,20.0,2024-01-03,2021-11-29,Deborah Hodge,Debit
935.0,2286310997057546,838.0,573.0,2024-09-21,2022-02-17,Marvin Lambert,Credit
777.0,4340424992388937,996.0,430.0,2024-03-07,2020-06-03,Ann Watson,Credit
227.0,3501077537681484,878.0,160.0,2024-07-05,2023-09-21,Raymond Foster,Credit
207.0,676324222436,223.0,178.0,2024-01-16,2022-11-09,Jacob Diaz,Check
467.0,4033386306226,618.0,206.0,2024-03-11,2021-01-28,Nathaniel Diaz,Check
714.0,38954291611196,450.0,225.0,2023-12-11,2022-12-21,Jonathan Anderson,Check
578.0,213152609231180,801.0,723.0,2024-10-07,2023-06-02,Tim Stevens,Debit
457.0,180051309558901,421.0,319.0,2024-07-29,2022-05-17,Lauren Garcia,Credit
772.0,342694490539571,689.0,430.0,2024-03-03,2021-06-18,Yolanda Taylor,Check
554.0,4033302647948683826,246.0,197.0,2024-08-04,2023-09-23,Michelle Lee,Check
355.0,180096144257722,675.0,59.0,2023-12-23,2020-04-08,Stephanie Robertson,Check
964.0,2234343501466781,406.0,266.0,2024-02-08,2023-09-29,Joy Black MD,Debit
954.0,4110158646201670182,136.0,12.0,2024-02-22,2023-11-11,Stephen Meyer,Check
73.0,30559952529625,266.0,42.0,2023-12-04,2022-10-28,Steven Garza,Check
304.0,3575494696542442,229.0,7.0,2024-07-06,2023-06-05,Michael Martinez,Check
609.0,580146132007,812.0,247.0,2023-12-11,2023-02-12,Carolyn Jimenez,Debit
88.0,30189727198298,103.0,65.0,2024-02-29,2020-03-26,Carol Warren,Credit
